Condo_Name,Condo_Initial_Price,Condo_Developer,Nearby_BTS_Station,Room_Type,Room_Size,Nearby_Transits,Location
คอนโด ไอดีโอ โมบิ รางน้ำ (Ideo Mobi Rangnam) ,เริ่มต้น 3.99 ลบ. (ณ. วันที่ 16/2/2021),อนันดาดีเวลลอปเม้นท์|ไอดีโอโมบิ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน",ตั้งแต่27.90ถึง65.95ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-630ม.)",ถนนรางน้ำ แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ
คอนโด วิช ซิกเนเจอร์ 2 มิดทาวน์ สยาม (Wish Signature II Midtown Siam) ,เริ่มต้น 6.99 ลบ. (ณ. วันที่ 6/5/2022),สยามนุวัตร,คอนโดสยามนุวัตร ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่30.00ถึง96.75ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีราชปรารภ),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีสยาม)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท)คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีราชปรารภ)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท)",ถนนเพชรบุรี แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400
คอนโด มาเอสโตร 07 อนุสาวรีย์ (Maestro 07 Victory Monument) ,เริ่มต้น 4.5 ลบ. (ณ. วันที่ 19/6/2020),เมเจอร์|มาเอสโตร,คอนโดเมเจอร์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่27.00ถึง68.37ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-80ม.)",ซอยราชวิถี 7 ถนนราชวิถี แขวงพญาไท เขตราชเทวี กรุงเทพมหานคร
คอนโด เดอะ ไลน์ ราชเทวี (The Line Ratchathewi) ,เริ่มต้น 6.99 ลบ. (ณ. วันที่ 11/2/2019),บีทีเอสแสนสิริโฮลดิ้งวัน(ในเครือแสนสิริ),คอนโดบีทีเอส แสนสิริ โฮลดิ้งวัน ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,3ห้องนอน,Penthouse",ตั้งแต่27.75ถึง119.50ตร.ม.,"ใกล้ทางด่วน,ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-220ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-220ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี-220ม.)",ถนนเพชรบุรี เขตราชเทวี กทม.
คอนโด มาเอสโตร 14 สยาม-ราชเทวี (Maestro 14 Siam-Ratchathewi) ,เริ่มต้น 7.2 ลบ. (ณ. วันที่ 25/1/2021),เมเจอร์|มาเอสโตร,คอนโดเมเจอร์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่26.72ถึง64.81ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-450ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-450ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี)",ซอยเพชรบุรี 12 แขวงถนนเพชรบุรี เขตราชเทวี กทม.
คอนโด คิว ชิดลม เพชรบุรี (Q Chidlom-Phetchaburi) ,เริ่มต้น 6.9 ลบ. (ณ. วันที่ 23/2/2019),อนันดาดีเวลลอปเม้นท์|ไอดีโอโมบิ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,ห้องชุดร้านค้า",ตั้งแต่35.00ถึง63.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีชิดลม-800ม.)",ถนนเพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี จังหวัดกรุงเทพ
คอนโด ริธึ่ม รางน้ำ (Rhythm Rangnam) ,เริ่มต้น 4 ลบ. (ณ. วันที่ 3/6/2015),AP|ดิแอดเดรส,คอนโดAP ใกล้รถไฟฟ้า,"สตูดิโอ,1ห้องนอน,2ห้องนอน,ห้องชุดร้านค้า",ตั้งแต่28.00ถึง62.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีอนุสาวรีย์ชัยสมรภูมิ-100ม.)",ซอยรางน้ำ ถนนพญาไท แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร
คอนโด ไอดีโอ คิว สยาม - ราชเทวี (Ideo Q Siam - Ratchathewi) ,เริ่มต้น 5.49 ลบ. (ณ. วันที่ 6/9/2019),อนันดาดีเวลลอปเม้นท์|ไอดีโอโมบิ,คอนโดอนันดาดีเวลลอปเม้นท์ ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน",ตั้งแต่29.50ถึง69.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-390ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-390ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี-390ม.)",ถนนเพชรบุรีตัดใหม่ เขตราชเทวี กรุงเทพมหานคร
คอนโด ศุภาลัย เอลีท พญาไท (Supalai Elite @ Phayathai) ,4.4 - 18.6 ลบ. (ณ. วันที่ 28/9/2017),ศุภาลัย|ศุภาลัยเอลีท,คอนโดศุภาลัย ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่44.00ถึง144.00ตร.ม.,"ใกล้ทางด่วน(่ด่านอุรุพงษ์,ด่านอนุสาวรีย์ชัยสมรภูมิ),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)คอนโดติดรถไฟฟ้าAirportRailLink(สถานีปัจจุบัน)(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)คอนโดติดรถไฟฟ้าสายสีแดงอ่อน(คอนโดติดรถไฟฟ้าสถานีพญาไท-650ม.)",ถนนศรีอยุธยา แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ
คอนโด วิช ซิกเนเจอร์ แอท มิดทาวน์ สยาม (Wish Signature @ Midtown Siam) ,เริ่มต้น 6.7 ลบ. (ณ. วันที่ 26/3/2019),สยามนุวัตร,คอนโดสยามนุวัตร ใกล้รถไฟฟ้า,"1ห้องนอน,2ห้องนอน,3ห้องนอน",ตั้งแต่27.00ถึง92.00ตร.ม.,"ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-350ม.),ใกล้รถไฟฟ้า,คอนโดติดรถไฟฟ้าสายสีเขียวเข้มหมอชิต-แบริ่ง(คอนโดติดรถไฟฟ้าสถานีราชเทวี-350ม.)คอนโดติดรถไฟฟ้าสายสีส้ม(คอนโดติดรถไฟฟ้าสถานีราชเทวี-350ม.)",ถ.เพชรบุรีตัดใหม่ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร
